,episode_lengths,episode_reward,policy_human_reward,policy_robot_reward
0,200,-301.0177252754599,-150.50886263772983,-150.50886263772983
1,200,-262.6606689451017,-131.33033447255076,-131.33033447255076
2,200,-163.93707647752066,-81.96853823876015,-81.96853823876015
3,200,-415.8033583369558,-207.9016791684778,-207.9016791684778
4,200,-386.48960443703095,-193.24480221851522,-193.24480221851522
5,200,-552.5369858799721,-276.2684929399863,-276.2684929399863
6,200,-204.87616663500503,-102.43808331750269,-102.43808331750269
7,200,-295.5054247629708,-147.75271238148565,-147.75271238148565
8,200,-327.2341905809032,-163.61709529045152,-163.61709529045152
9,200,-234.01016974196995,-117.00508487098485,-117.00508487098485
10,200,-302.86412658951093,-151.43206329475566,-151.43206329475566
11,200,-328.89783743481934,-164.44891871740944,-164.44891871740944
12,200,-337.67962293697,-168.83981146848484,-168.83981146848484
13,200,-246.59690242191036,-123.2984512109551,-123.2984512109551
14,200,-302.2287274416508,-151.11436372082528,-151.11436372082528
15,200,-373.4391057479931,-186.71955287399666,-186.71955287399666
16,200,-383.41439741625334,-191.70719870812673,-191.70719870812673
17,200,-348.40780845192177,-174.2039042259609,-174.2039042259609
18,200,-362.4308507260142,-181.21542536300745,-181.21542536300745
19,200,-357.01594095056294,-178.50797047528155,-178.50797047528155
20,200,-373.30815612396384,-186.65407806198203,-186.65407806198203
21,200,-391.98821102626357,-195.99410551313176,-195.99410551313176
22,200,-348.70530653790075,-174.35265326895035,-174.35265326895035
23,200,-451.2206903419135,-225.6103451709567,-225.6103451709567
24,200,-287.5648913764919,-143.78244568824596,-143.78244568824596
25,200,-258.6383093369247,-129.31915466846218,-129.31915466846218
26,200,-339.0423138071863,-169.52115690359332,-169.52115690359332
27,200,-257.7996412206136,-128.8998206103069,-128.8998206103069
28,200,-342.8754106658187,-171.43770533290942,-171.43770533290942
29,200,-362.23980021105757,-181.11990010552844,-181.11990010552844
30,200,-294.5291356207627,-147.26456781038132,-147.26456781038132
31,200,-218.8552862703456,-109.42764313517273,-109.42764313517273
32,200,-279.3682933773204,-139.68414668866043,-139.68414668866043
33,200,-228.43521206967546,-114.2176060348378,-114.2176060348378
34,200,-336.10408729010675,-168.05204364505312,-168.05204364505312
35,200,-341.1403072921149,-170.5701536460576,-170.5701536460576
36,200,-384.8103716316236,-192.4051858158118,-192.4051858158118
37,200,-464.58643561403414,-232.2932178070173,-232.2932178070173
38,200,-325.0694009444977,-162.53470047224917,-162.53470047224917
39,200,-410.2338854488454,-205.11694272442233,-205.11694272442233
40,200,-184.92105858174446,-92.46052929087216,-92.46052929087216
41,200,-354.58809269403605,-177.29404634701834,-177.29404634701834
42,200,-348.7700993123608,-174.38504965618014,-174.38504965618014
43,200,-303.89157386699065,-151.9457869334952,-151.9457869334952
44,200,-273.7210549463385,-136.86052747316927,-136.86052747316927
45,200,-357.4081178517709,-178.70405892588548,-178.70405892588548
46,200,-354.79170990337127,-177.39585495168555,-177.39585495168555
47,200,-336.5549920836528,-168.27749604182648,-168.27749604182648
48,200,-251.80051036800484,-125.9002551840025,-125.9002551840025
49,200,-394.4673605108351,-197.23368025541748,-197.23368025541748
50,200,-322.68891073594204,-161.34445536797122,-161.34445536797122
51,200,-253.70920740737353,-126.85460370368669,-126.85460370368669
52,200,-271.45635511013745,-135.72817755506892,-135.72817755506892
53,200,-280.51511907812744,-140.25755953906378,-140.25755953906378
54,200,-214.112038446866,-107.05601922343315,-107.05601922343315
55,200,-269.0049416651348,-134.5024708325674,-134.5024708325674
56,200,-239.96480858998459,-119.98240429499215,-119.98240429499215
57,200,-272.8899938200643,-136.44499691003213,-136.44499691003213
58,200,-321.8823169629143,-160.94115848145708,-160.94115848145708
59,200,-578.0350052951228,-289.0175026475618,-289.0175026475618
60,200,-436.2796444901853,-218.13982224509274,-218.13982224509274
